red colour ta hobe ki??,ji
vai red colour pawa jebe ki,ji
bodi 38 lomba 44 pawa jabe,ji                   
আমার কিছু কয়েন আছে আমি কিভাবে ব্যাবহার করবো,Please check the size or color availability in the variation section on the product page.
2 ta red colours two pic paow jabe ki bolen please,maam same same hobe 
sem 2ta red colour paow jabe,ji 
navi sundor,ache
available pabo?,yes sir
2,ache
Kalo hobe,hmm
আপু এই থ্রি পিসটা   800 টাকায় দেওয়া যাবে না,nah
ai price a ki merun colour pawa jabe?,hmm
size and long kototuku Hobe??,long 50 body free size 
size pls,long 50 body free size
Ami bra gulo ki aro tied hobe,bujlam na
34 hobe saize,yes always available 
29 size hbe ki,30 size order dien 
Body 36 long 48 kivave order korbo size to just 36 deya ase,ji hobe order Korean 
বডি 36 লং 48 হবে,ji hobe order Korean sir 
4 fit 9 inch hight,,, koto size nite hobe aktu bolben.. perfect fetting hobe koto size,ji hobe order Korean 
defrent colour hone ki,onek colour ache amader store e. kindly dekhen
lombay kototuku asy?,Height 38 inches and waist 42
pink colour hobe,yes. inbox please
ami order korlam pink ta diben kindly 3-4 din er moddhe send korben,,inbox e bole din please
red color ta hbe??  Mom to be,yes
Vai 11 years girl ar ki size habe,no
How long size,48
body 30,long 40 pawa jabe ki?,jhi
হলুদ কালার হবে তো,yes
কতো ইঞ্চি?,81 inch
koy hat,৫ হাত
vitore ki fomm ase,na, stretch Kapoor er
2 ta kivabe order korbo,+ e click koren 
taratari bolen please,yes 
ki ki clr ache,black  white  red  blue   maroon   navyblue 

jamon ase tamon pabo to????,same to same 
ami akta nita chai,please order now

ai Jamar kalarta tik jerokom tik serokom na hole jamar  kapor balo na hole pirot niben ki,ok
ey jamar lomba R body koto???,body 44 long 48 
R Kono colour nei,jhi
voucher code chaice kutai pabo ei code,lagve.na voucar 

Cash one delevary option nai kno?,ace dehken 

আমি একটা অডার করছি ১৯ তারিখে এখনো পাচ্ছি না কেন?,wiat koren paven 
কিভাবে দুইটা অর্ডার করবো লাল ও নীল যদি প্রসেস টা বলতেন,duita products add to cart koren. tarpor apnar cart/basket e giye duita item select kore tarpor check out and proceed to pay koren
Free size ache?,waist size 42 inch
ki ki colour ace,amar store e aro onek colour ache. violet, navy blue, yellow, blush pink, black, magenta etc. kindly amar store e dekhen
body 34  kon size lagbe,34 size tai hove 
height 5 feet body 40 kon size nite hobe?,ji hove
eta ki selai kora?,ji selai kola  r shop saiz deowa ace 
কোমর কতো ইঞ্চি?,42
48 size hoba,34/44 pojjonto ace 
gher koto tuku?,ger 120
size 40 r body 28 hobe???,body 34/44 pojjonto hove r long 50 + hove 
আমি অর্ডার করতে চাই তাই এটার বিষয়ে কিছু কথা বলতে চাই আপনাদের সাথে,ji bolen
15 bochor meyeder lagbe ki na,jhi
কেমন সাইজ এভেলএবেল হবে?,jhi
13বছর মেয়েদের কি এটা লাগবে,ok
হোয়াইট কালার হবে,no
এটা কি বানাতে হবে,ji
এম্ব্রডারি কাজ করা  নাকি,ji
52 size paoa jabe?,ji na 
৫৫ ঝুল কি পাওয়া যাবে,ji na 
20 বছরের মেয়ের কত সাইজ লাগে,40
red colour ta hobe ki??,ji
vai red colour pawa jebe ki,ji
bodi 38 lomba 44 pawa jabe,ji                   
আমার কিছু কয়েন আছে আমি কিভাবে ব্যাবহার করবো,Please check the size or color availability in the variation section on the product page.
2 ta red colours two pic paow jabe ki bolen please,maam same same hobe 
sem 2ta red colour paow jabe,ji 
navi sundor,ache
available pabo?,yes sir
2,ache
Kalo hobe,hmm
আপু এই থ্রি পিসটা   800 টাকায় দেওয়া যাবে না,nah
ai price a ki merun colour pawa jabe?,hmm
size and long kototuku Hobe??,long 50 body free size 
size pls,long 50 body free size
Ami bra gulo ki aro tied hobe,bujlam na
34 hobe saize,yes always available 
29 size hbe ki,30 size order dien 
Body 36 long 48 kivave order korbo size to just 36 deya ase,ji hobe order Korean 
বডি 36 লং 48 হবে,ji hobe order Korean sir 
4 fit 9 inch hight,,, koto size nite hobe aktu bolben.. perfect fetting hobe koto size,ji hobe order Korean 
defrent colour hone ki,onek colour ache amader store e. kindly dekhen
lombay kototuku asy?,Height 38 inches and waist 42
pink colour hobe,yes. inbox please
ami order korlam pink ta diben kindly 3-4 din er moddhe send korben,,inbox e bole din please
red color ta hbe??  Mom to be,yes
Vai 11 years girl ar ki size habe,no
How long size,48
body 30,long 40 pawa jabe ki?,jhi
হলুদ কালার হবে তো,yes
কতো ইঞ্চি?,81 inch
koy hat,৫ হাত
vitore ki fomm ase,na, stretch Kapoor er
2 ta kivabe order korbo,+ e click koren 
taratari bolen please,yes 
ki ki clr ache,black  white  red  blue   maroon   navyblue 

jamon ase tamon pabo to????,same to same 
ami akta nita chai,please order now

ai Jamar kalarta tik jerokom tik serokom na hole jamar  kapor balo na hole pirot niben ki,ok
ey jamar lomba R body koto???,body 44 long 48 
R Kono colour nei,jhi
